listing_id,type_1,frame_1,id,type_2,frame_2,note
B100506-4,b,곤경,B100506-4,b,도덕/곤경,본인 신앙의 힘으로 버틴다는 진술
B140324-4,a,도덕/곤경,B140324-4,a,도덕/곤경,복 받으시길 기도합니다 - 관용적 맺음말
B091215-14,c,곤경,B091215-14,c,도덕/곤경,개척교회 월세 연체가 대출 용도
B120618-10,x,도덕/곤경,B120618-10,x,도덕/곤경,7접8기+도전 우연 부분일치
B101116-12,b,도덕/곤경,B101116-12,x,도덕/곤경,"아내(아이들 엄마)의 신앙생활, 본인 아님"
B091124-4,a,곤경,B091124-4,a,도덕/곤경,구원의 기도; 전도사는 보험영업 비유
B110530-8,x,곤경,B110530-8,x,도덕/곤경,예쁘 공주님 - 부분일치
B101202-19,c,곤경,B101202-19,c,도덕/곤경,"성당 통한 교도소 봉사활동, 봉사활동비 지출"
B150407-4,x,도덕,B150407-4,x,도덕,보호예수 - 금융용어
B100525-5,a,곤경,B100525-5,a,도덕/곤경,하루하루 기도하며 지낸다는 관용적 표현
B161212-2,a,곤경,B161212-2,a,도덕/곤경,눈 낫기를 기도한다 - 관용적
B161229-4,b,곤경,B161229-4,b,도덕/곤경,종교인이 되고자 준비중이라는 본인 정체성
B140912-3,c,도덕/곤경,B140912-3,c,도덕/곤경,시아버지 교회 이전 비용이 대출 용도
B120619-22,a,도덕/곤경,B120619-22,a,도덕/곤경,도와주시길 간절히 기도해봅니다
B130114-2,x,도덕/곤경,B130114-2,x,도덕/곤경,편의점 점주님 - 부분일치
B150407-6,b,도덕/곤경,B150407-6,x,도덕/곤경,"같은 교회 교인에게 사기당함, 제3자 맥락"
B090805-15,a,곤경,B090805-15,a,도덕/곤경,매일 기도한다는 관용적 언급
B100504-16,c,곤경,B100504-16,c,도덕/곤경,지출내역에 십일조 포함
B100906-19,a,도덕/곤경,B100906-19,a,도덕/곤경,오늘도 간절히 기도합니다 - 인사말
B100607-13,a,곤경,B100607-13,a,도덕/곤경,하루하루 기도하며 지낸다
B111005-16,c,곤경,B111005-16,x,도덕/곤경,"과외 선생의 선교·봉사 경력, 제3자"
B170818-4,a,도덕/곤경,B170818-4,a,도덕/곤경,기도 표현은 관용적 맺음(본문 일부 절단)
B090601-7,a,곤경,B090601-7,a,도덕/곤경,남편과 맞대고 기도했다는 서술
B081212-2,x,도덕/곤경,B081212-2,c,도덕/곤경,기독교출판사 취직 - 종교기관 취업
B091124-8,a,곤경,B091124-8,a,도덕/곤경,호전되길 기도했다는 관용적 표현
B110110-5,x,도덕/곤경,B110110-5,x,도덕/곤경,김성경 - 사람 이름
B090926-4,c,도덕/곤경,B090926-4,c,도덕/곤경,"지출내역 기타(공과금,헌금)"
B160113-2,b,곤경,B160113-2,a,도덕/곤경,날마다 출근길에 기도합니다
